BREED,HEIGHT,WEIGHT,LIFE EXPECTANCY,CHARACTERISTICS,GROOMING FREQUENCY,SHEDDING LEVEL,ENERGY LEVEL,TRAINABILITY,TEMPERAMENT/DEMEANOR,description
Tibetan Terrier,14-17 inches,"18-30 pounds (male), slightly smaller (female)",15-16 years,"Affectionate, Loyal, Sensitive",2-3 Times a Week Brushing,Seasonal,Energetic,Independent,Reserved with Strangers,"Tibetan Terrierは犬種です。

体高は14〜43.2cmです。
体重は18〜13.6kg (オス)、 わずかに小さめ (メス)です。
寿命は15〜16 年です。

特徴は愛情深いです、忠実です、敏感です。

多くの運動を必要とします。
独立心が強いため、しつけには一貫した対応が求められます。
見知らぬ人には慎重な傾向があります。
週に2〜3回のブラッシングが必要です。
換毛期には抜け毛が増えます。"
American Water Spaniel,15-18 inches,"30-45 pounds (male), 25-40 pounds (female)",10-14 years,"Eager, Happy, Charming",2-3 Times a Week Brushing,Infrequent,Regular Exercise,Eager to Please,Friendly,"American Water Spanielは犬種です。

体高は15〜45.7cmです。
体重は30〜20.4kg (オス)、 25〜18.1kg (メス)です。
寿命は10〜14 年です。

特徴は熱心です、明るいです、魅力的です。

適度な運動が必要です。
飼い主の期待に応えようとする性格です。
人懐っこい性格です。
週に2〜3回のブラッシングが必要です。
抜け毛は少ないです。"
Tosa,Minimum 21.5-23.5 inches,100-200 pounds,10-12 years,"Fearless, Patient, Vigilant",Occasional Bath/Brush,Occasional,Calm,Agreeable,Reserved with Strangers,"Tosaは犬種です。

体高は以上 21.5〜59.7cmです。
体重は100〜90.7kgです。
寿命は10〜12 年です。

特徴は勇敢です、忍耐強いです、警戒心が強いです。

落ち着いています。
比較的指示を理解しやすい犬種です。
見知らぬ人には慎重な傾向があります。
定期的な入浴やブラッシングが必要です。
抜け毛はややあります。"
Toy Fox Terrier,8.5-11.5 inches,3.5-7 pounds,13-15 years,"Friendly, Alert, Intelligent",Weekly Brushing,Occasional,Energetic,Eager to Please,Friendly,"Toy Fox Terrierは犬種です。

体高は8.5〜29.2cmです。
体重は3.5〜3.2kgです。
寿命は13〜15 年です。

特徴は友好的です、警戒心が強いです、知的です。

多くの運動を必要とします。
飼い主の期待に応えようとする性格です。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
抜け毛はややあります。"
Transylvanian Hound,22-26 inches,Minimum 55 pounds,10-14 years,"Courageous, Good-Natured, Determined",Weekly Brushing,,Needs Lots of Activity,May be Stubborn,,"Transylvanian Houndは犬種です。

体高は22〜66cmです。
体重は以上 24.9kgです。
寿命は10〜14 年です。

特徴は勇敢です、気立てが良いです、決意が固いです。

非常に活発で、多くの運動や遊びが必要です。
しつけには根気が必要です。
不明
週に1回程度のブラッシングが必要です。
不明"
Treeing Tennessee Brindle,16-24 inches,30-50 pounds,10-12 years,"Friendly, Alert, Intelligent",Weekly Brushing,Occasional,Regular Exercise,,,"Treeing Tennessee Brindleは犬種です。

体高は16〜61cmです。
体重は30〜22.7kgです。
寿命は10〜12 年です。

特徴は友好的です、警戒心が強いです、知的です。

適度な運動が必要です。
不明
不明
週に1回程度のブラッシングが必要です。
抜け毛はややあります。"
Treeing Walker Coonhound,"22-27 inches (male), 20-25 inches (female)",50-70 pounds,12-13 years,"Smart, Brave, Courteous",Occasional Bath/Brush,Seasonal,Regular Exercise,Independent,Friendly,"Treeing Walker Coonhoundは犬種です。

体高は22〜68.6cm (オス)、 20〜63.5cm (メス)です。
体重は50〜31.8kgです。
寿命は12〜13 年です。

特徴は頭がいいです、勇敢です、丁寧です。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
人懐っこい性格です。
定期的な入浴やブラッシングが必要です。
換毛期には抜け毛が増えます。"
Vizsla,"22-24 inches (male), 21-23 inches (female)","55-60 pounds (male), 44-55 pounds (female)",12-14 years,"Affectionate, Gentle, Energetic",Weekly Brushing,Seasonal,Energetic,Eager to Please,Friendly,"Vizslaは犬種です。

体高は22〜61cm (オス)、 21〜58.4cm (メス)です。
体重は55〜27.2kg (オス)、 44〜24.9kg (メス)です。
寿命は12〜14 年です。

特徴は愛情深いです、穏やかで優しいです、エネルギッシュです。

多くの運動を必要とします。
飼い主の期待に応えようとする性格です。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Weimaraner,"25-27 inches (male), 23-25 inches (female)","70-90 pounds (male), 55-75 pounds (female)",10-13 years,"Friendly, Fearless, Obedient",Weekly Brushing,Seasonal,Needs Lots of Activity,Eager to Please,Friendly,"Weimaranerは犬種です。

体高は25〜68.6cm (オス)、 23〜63.5cm (メス)です。
体重は70〜40.8kg (オス)、 55〜34kg (メス)です。
寿命は10〜13 年です。

特徴は友好的です、勇敢です、従順です。

非常に活発で、多くの運動や遊びが必要です。
飼い主の期待に応えようとする性格です。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Welsh Springer Spaniel,"18-19 inches (male), 17-18 inches (female)","40-55 pounds (male), 35-50 pounds (female)",12-15 years,"Happy, Reserved, Upbeat",Weekly Brushing,,Energetic,Easy Training,Friendly,"Welsh Springer Spanielは犬種です。

体高は18〜48.3cm (オス)、 17〜45.7cm (メス)です。
体重は40〜24.9kg (オス)、 35〜22.7kg (メス)です。
寿命は12〜15 年です。

特徴は明るいです、内気です、陽気で明るいです。

多くの運動を必要とします。
しつけは容易な傾向があります。
人懐っこい性格です。
週に1回程度のブラッシングが必要です。
不明"
Welsh Terrier,"15 inches (male), porportionally smaller (female)","20 pounds, porportionally smaller (female)",12-15 years,"Friendly, Spirited, Intelligent",2-3 Times a Week Brushing,Occasional,Energetic,Agreeable,Outgoing,"Welsh Terrierは犬種です。

体高は38.1cm (オス)、 比例して小さめ (メス)です。
体重は9.1kg、 比例して小さめ (メス)です。
寿命は12〜15 年です。

特徴は友好的です、活発です、知的です。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
社交的な性格です。
週に2〜3回のブラッシングが必要です。
抜け毛はややあります。"
West Highland White Terrier,"11 inches (male). 10 inches, female",15-20 pounds,13-15 years,"Loyal, Happy, Entertaining",Daily Brushing,Seasonal,Regular Exercise,Agreeable,Friendly,"West Highland White Terrierは犬種です。

体高は27.9cm (オス). 25.4cm、 メスです。
体重は15〜9.1kgです。
寿命は13〜15 年です。

特徴は忠実です、明るいです、面白いです。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
人懐っこい性格です。
毎日のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Wetterhoun,"23 inches (male), 21. 5 inches (female)",50-75 pounds,13 years,"Loyal, Good-Natured, Intelligent",Occasional Bath/Brush,Occasional,Regular Exercise,May be Stubborn,Reserved with Strangers,"Wetterhounは犬種です。

体高は58.4cm (オス)、 21. 12.7cm (メス)です。
体重は50〜34kgです。
寿命は13 年です。

特徴は忠実です、気立てが良いです、知的です。

適度な運動が必要です。
しつけには根気が必要です。
見知らぬ人には慎重な傾向があります。
定期的な入浴やブラッシングが必要です。
抜け毛はややあります。"
Whippet,"19-22 inches (male), 18-21 inches (female)",25-40 pounds,12-15 years,"Affectionate, Playful, Calm",Occasional Bath/Brush,Occasional,Regular Exercise,Independent,Reserved with Strangers,"Whippetは犬種です。

体高は19〜55.9cm (オス)、 18〜53.3cm (メス)です。
体重は25〜18.1kgです。
寿命は12〜15 年です。

特徴は愛情深いです、遊び好きです、冷静です。

適度な運動が必要です。
独立心が強いため、しつけには一貫した対応が求められます。
見知らぬ人には慎重な傾向があります。
定期的な入浴やブラッシングが必要です。
抜け毛はややあります。"
Wire Fox Terrier,15½ inches,"18 pounds (male), 15-17 (female)",12-15 years,"Confident, Alert, Gregarious",Weekly Brushing,Infrequent,Regular Exercise,Agreeable,Alert/Responsive,"Wire Fox Terrierは犬種です。

体高は15½ inchesです。
体重は8.2kg (オス)、 15〜17 (メス)です。
寿命は12〜15 年です。

特徴は自信に満ちています、警戒心が強いです、社交的です。

適度な運動が必要です。
比較的指示を理解しやすい犬種です。
警戒心や対応力が高いです。
週に1回程度のブラッシングが必要です。
抜け毛は少ないです。"
Wirehaired Pointing Griffon,"22-24 inches (male), 20-22 inches (female)","50-70 pounds (male), 35-50 pounds (female)",12-15 years,"Friendly, Devoted, Trainable",Weekly Brushing,Seasonal,Needs Lots of Activity,Agreeable,Alert/Responsive,"Wirehaired Pointing Griffonは犬種です。

体高は22〜61cm (オス)、 20〜55.9cm (メス)です。
体重は50〜31.8kg (オス)、 35〜22.7kg (メス)です。
寿命は12〜15 年です。

特徴は友好的です、献身的です、しつけを覚えやすいです。

非常に活発で、多くの運動や遊びが必要です。
比較的指示を理解しやすい犬種です。
警戒心や対応力が高いです。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Wirehaired Vizsla,"23-25 inches (male), 21.5-23 inches (female)","55-65 pounds (male), 45-55 pounds (female)",12-14 years,"Gentle, Loyal, Trainable",Occasional Bath/Brush,Seasonal,Energetic,Agreeable,Alert/Responsive,"Wirehaired Vizslaは犬種です。

体高は23〜63.5cm (オス)、 21.5〜58.4cm (メス)です。
体重は55〜29.5kg (オス)、 45〜24.9kg (メス)です。
寿命は12〜14 年です。

特徴は穏やかで優しいです、忠実です、しつけを覚えやすいです。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
換毛期には抜け毛が増えます。"
Working Kelpie,19-25 inches,28-60 pounds,12-15 years,"Alert, Eager, Intelligent",Occasional Bath/Brush,Seasonal,Energetic,Independent,Alert/Responsive,"Working Kelpieは犬種です。

体高は19〜63.5cmです。
体重は28〜27.2kgです。
寿命は12〜15 年です。

特徴は警戒心が強いです、熱心です、知的です。

多くの運動を必要とします。
独立心が強いため、しつけには一貫した対応が求められます。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
換毛期には抜け毛が増えます。"
Xoloitzcuintli,"10-14 inches (toy), 14-18 inches (miniature), 18-23 inches (standard)","10-15 pounds (toy), 15-30 pounds (miniature), 30-55 pounds (standard)",13-18 years,"Loyal, Alert, Calm",Occasional Bath/Brush,Infrequent,Energetic,Agreeable,Alert/Responsive,"Xoloitzcuintliは犬種です。

体高は10〜35.6cm （トイ）、 14〜45.7cm （ミニチュア）、 18〜58.4cm （スタンダード）です。
体重は10〜6.8kg （トイ）、 15〜13.6kg （ミニチュア）、 30〜24.9kg （スタンダード）です。
寿命は13〜18 年です。

特徴は忠実です、警戒心が強いです、冷静です。

多くの運動を必要とします。
比較的指示を理解しやすい犬種です。
警戒心や対応力が高いです。
定期的な入浴やブラッシングが必要です。
抜け毛は少ないです。"
Yakutian Laika,21-23 inches,40-55 pounds,10-12 years,"Affectionate, Intelligent, Active",Weekly Brushing,Seasonal,Energetic,May be Stubborn,Reserved with Strangers,"Yakutian Laikaは犬種です。

体高は21〜58.4cmです。
体重は40〜24.9kgです。
寿命は10〜12 年です。

特徴は愛情深いです、知的です、活動的です。

多くの運動を必要とします。
しつけには根気が必要です。
見知らぬ人には慎重な傾向があります。
週に1回程度のブラッシングが必要です。
換毛期には抜け毛が増えます。"
Yorkshire Terrier,7-8 inches,7 pounds,11-15 years,"Affectionate, Sprightly, Tomboyish",Specialty/Professional,Infrequent,Regular Exercise,May be Stubborn,Friendly,"Yorkshire Terrierは犬種です。

体高は7〜20.3cmです。
体重は3.2kgです。
寿命は11〜15 年です。

特徴は愛情深いです、活発です、おてんばです。

適度な運動が必要です。
しつけには根気が必要です。
人懐っこい性格です。
専門的な手入れやプロによるトリミングが必要です。
抜け毛は少ないです。"
,,,,,,,,,,"不明は犬種です。

体高は不明です。
体重は不明です。
寿命は不明です。

特徴は不明。

不明
不明
不明
不明
不明"
10,,,,,,,,,,"10は犬種です。

体高は不明です。
体重は不明です。
寿命は不明です。

特徴は不明。

不明
不明
不明
不明
不明"
